collection_date,track_position,track_name,track_id,artist_name,artist_id,artist_followers,label_name,label_type,track_date,track_genres,track_features,artist_video,artist_video_date
2024-09-01T00:00:00+02:00,406,This Is Halloween,ea5ae8b1-a1d7-4cdb-83dc-3e04f91a30cc,"['izzy reign', 'Cody Jamison', 'Ryan Ridley', 'Christian Koo', 'RandAlive']","['7142cb1c-0dd4-11ea-bf1f-549f35161576', 'd428a611-4ab4-4df3-8538-8e0af56b197d', 'f7bce9d9-5a06-44d2-990f-e7efd2546171', 'b6293ccf-e2fb-4a86-b179-22e29024922e', '68461e46-123b-4bf9-a269-ed23a02b7073']","[13000, None, None, None, None]",['izzy reign'],['Self released'],2020-10-13T00:00:00+00:00,"['alternative', 'rock']","{'acousticness': 0.02, 'danceability': 0.52, 'energy': 0.92, 'instrumentalness': 0, 'key': 8, 'liveness': 0.25, 'loudness': -5.31, 'mode': 1, 'speechiness': 0.04, 'tempo': 83.53, 'timeSignature': 4, 'valence': 0.42}",True,2024-05-17
2024-09-01T00:00:00+02:00,407,Coco,30956275-fc06-4ee9-951a-35afdb4a63a6,"['Ninho', 'Niska']","['11e81bc8-377c-8d64-923f-a0369fe50396', '11e81bcb-6ed3-6f64-a533-a0369fe50396']","[1300000, 1100000]","['Universal', 'Warner', 'Charo', 'Jefe Productions']","['Universal', 'Warner', 'Self released', 'Self released']",2024-07-12T00:00:00+00:00,['hip-hop & rap'],"{'acousticness': 0.23, 'danceability': 0.78, 'energy': 0.76, 'instrumentalness': 0, 'key': 4, 'liveness': 0.16, 'loudness': -5.84, 'mode': 0, 'speechiness': 0.24, 'tempo': 110.96, 'timeSignature': 4, 'valence': 0.72}",True,2024-07-16
2024-09-01T00:00:00+02:00,408,Kwalula,5abad359-9254-4e7e-84fe-ec3c32052b51,"['SiMMY', 'Sun-El Musician', 'Sino Msolo']","['11e81bbf-cdfe-4560-8ac7-a0369fe50396', '11e83feb-cb49-ea0e-b33f-aa1c026db3d8', '158c96a4-cae0-11e9-8e2b-549f35161576']","[243600, 94800, 255400]",['Sun-EL Musician'],['Self released'],2020-12-04T00:00:00+00:00,['electronic'],"{'acousticness': 0.47, 'danceability': 0.53, 'energy': 0.55, 'instrumentalness': 0.11, 'key': 1, 'liveness': 0.1, 'loudness': -11.57, 'mode': 1, 'speechiness': 0.04, 'tempo': 101.02, 'timeSignature': 4, 'valence': 0.43}",False,
2024-09-01T00:00:00+02:00,410,KEHLANI (REMIX) [feat. Kehlani],bd702eb7-027b-45b7-820f-04062328217f,[],[],[],[],[],,[],,True,2024-05-18
2024-09-01T00:00:00+02:00,411,WILDFLOWER,97ba7780-0b53-4c17-a4e9-7c762a113d33,['Billie Eilish'],['11e81bcc-9c1c-ce38-b96b-a0369fe50396'],[66200000],"['Interscope', 'Darkroom']","['Universal', 'Universal']",2024-05-17T00:00:00+00:00,['alternative'],"{'acousticness': 0.61, 'danceability': 0.47, 'energy': 0.25, 'instrumentalness': 0, 'key': 6, 'liveness': 0.17, 'loudness': -12, 'mode': 0, 'speechiness': 0.04, 'tempo': 148.1, 'timeSignature': 4, 'valence': 0.13}",True,2024-09-06
2024-09-01T00:00:00+02:00,414,GANG,d713b2bd-1abb-456f-8535-24c9f9a833ec,['Kairo Keyz'],['0f8054f2-9a5d-11e9-825d-e4434b2a4898'],[213300],['GRADUATION*'],"['Other independent labels: ""Indie""']",2024-05-10T00:00:00+00:00,['hip-hop & rap'],"{'acousticness': 0.26, 'danceability': 0.92, 'energy': 0.68, 'instrumentalness': 0, 'key': 3, 'liveness': 0.12, 'loudness': -6.84, 'mode': 0, 'speechiness': 0.45, 'tempo': 139.97, 'timeSignature': 4, 'valence': 0.72}",True,2024-05-09
2024-09-01T00:00:00+02:00,415,Guess featuring Billie Eilish,1f32e590-b5a2-4a25-a7b0-98ae96e7f8f5,"['Charli XCX', 'Billie Eilish']","['11e81bc6-977d-a010-8553-a0369fe50396', '11e81bcc-9c1c-ce38-b96b-a0369fe50396']","[3100000, 66200000]",['Atlantic'],['Warner'],2024-08-01T00:00:00+00:00,['electronic'],,True,2024-08-01
2024-09-01T00:00:00+02:00,416,Rose,11e82614-748d-453a-9219-aa1c026db3d8,['James Horner'],['11e81bd1-67da-c1e8-877f-a0369fe50396'],[None],['Paramount Pictures'],['unknown'],1997-01-01T00:00:00+00:00,"['soundtrack, stage & screen']","{'acousticness': 0.86, 'danceability': 0.15, 'energy': 0.04, 'instrumentalness': 0.94, 'key': 5, 'liveness': 0.13, 'loudness': -24.56, 'mode': 1, 'speechiness': 0.04, 'tempo': 138.48, 'timeSignature': 3, 'valence': 0.04}",False,
2024-09-01T00:00:00+02:00,417,Paani Diya Chhallan,11e84096-bd46-937a-9664-aa1c026db3d8,"['Rani Randeep', 'Feroz Khan']","['11e81bc6-a5ff-bd9e-90d9-a0369fe50396', '11e81bcc-6d31-81d6-8b73-a0369fe50396']","[None, None]",[],[],2006-08-06T00:00:00+00:00,"['soundtrack, stage & screen']","{'acousticness': 0.54, 'danceability': 0.71, 'energy': 0.48, 'instrumentalness': 0, 'key': 4, 'liveness': 0.08, 'loudness': -9.01, 'mode': 0, 'speechiness': 0.04, 'tempo': 82.98, 'timeSignature': 4, 'valence': 0.35}",False,
2024-09-01T00:00:00+02:00,420,Bon Appetit,23e27b2a-23ee-4890-bdaa-632ea48d25fb,['Medina'],['076b04e0-ead7-11e9-9f82-549f35161576'],[53900],['Sami Rekik'],['unknown'],2023-03-24T00:00:00+00:00,['hip-hop & rap'],"{'acousticness': 0.06, 'danceability': 0.74, 'energy': 0.85, 'instrumentalness': 0, 'key': 6, 'liveness': 0.06, 'loudness': -5.18, 'mode': 0, 'speechiness': 0.05, 'tempo': 125.05, 'timeSignature': 4, 'valence': 0.96}",True,2023-03-18
